Wavelength,Excitation,Emission
300,18.36979,0
301,15.5026,0
302,13.11555,0
303,11.44306,0
304,9.999593,0
305,8.796528,0
306,8.018289,0
307,7.38759,0
308,6.714218,0
309,6.353941,0
310,5.916463,0
311,5.522089,0
312,5.511153,0
313,5.077963,0
314,4.936427,0
315,5.133935,0
316,4.807971,0
317,4.698601,0
318,4.721976,0
319,4.814404,0
320,4.713613,0
321,4.863513,0
322,4.869947,0
323,4.913052,0
324,4.812045,0
325,4.801538,0
326,4.829416,0
327,4.949508,0
328,4.923559,0
329,5.243304,0
330,5.423228,0
331,5.491852,0
332,5.616233,0
333,5.931475,0
334,5.901452,0
335,6.019399,0
336,6.332496,0
337,6.407768,0
338,6.538368,0
339,6.682264,0
340,6.838813,0
341,6.918159,0
342,7.035892,0
343,7.095939,0
344,7.231257,0
345,7.327759,0
346,7.381157,0
347,7.449996,0
348,7.664231,0
349,7.754301,0
350,7.84008,0
351,7.99234,0
352,8.074045,0
353,8.129588,0
354,8.22416,0
355,8.33353,0
356,8.389072,0
357,8.449333,0
358,8.528465,0
359,8.560633,0
360,8.67665,0
361,8.691447,0
362,8.753637,0
363,8.93592,0
364,8.89539,0
365,8.989532,0
366,9.054082,0
367,9.101261,0
368,9.081961,0
369,9.045505,0
370,9.049579,0
371,8.985458,0
372,8.747204,0
373,8.614245,0
374,8.436466,0
375,8.294714,0
376,8.050241,0
377,7.94752,0
378,7.86174,0
379,7.739503,0
380,7.550573,0
381,7.600111,0
382,7.559365,0
383,7.424047,0
384,7.475729,0
385,7.430696,0
386,7.464793,0
387,7.383516,0
388,7.36636,0
389,7.267714,0
390,7.207667,0
391,7.055408,0
392,6.943679,0
393,6.703495,0
394,6.574825,0
395,6.293895,0
396,6.096601,0
397,5.828539,0
398,5.624811,0
399,5.311714,0
400,5.077963,0
401,4.784167,0
402,4.552561,0
403,4.321169,0
404,4.093852,0
405,3.808419,0
406,3.686397,0
407,3.405253,0
408,3.175791,0
409,2.939896,0
410,2.753325,0
411,2.49191,0
412,2.371818,0
413,2.17002,0
414,2.02012,0
415,1.854993,0
416,1.719675,0
417,1.563341,0
418,1.475202,0
419,1.295064,0
420,1.220221,0
421,1.110637,0
422,0.9457248,0
423,0.9176319,0
424,0.8084768,0
425,0.7570088,0
426,0.6454948,0
427,0.6667253,0
428,0.5211137,0
429,0.6088238,0
430,0.4610677,0
431,0.3902991,0
432,0.3622062,0
433,0.3645651,0
434,0.2485476,0
435,0.3364722,0
436,0.3152416,0
437,0.3107381,0
438,0.2337506,0
439,0.2959411,0
440,0.2935821,0
441,0.3323976,0
442,0.2637736,0
443,0.2614146,0
444,0.2292471,0
445,0.2442586,0
446,0.2313916,0
447,0.2337506,0
448,0.2466176,0
449,0.3043047,0
450,0.3171717,0
451,0.3838656,0
452,0.4010217,0
453,0.4803682,0
454,0.5015988,0
455,0.5830898,0
456,0.5680782,0
457,0.6474248,0
458,0.6583617,0
459,0.7570088,0
460,0.7782393,0
461,0.8921123,0
462,0.9562329,0
463,1.057024,0
464,1.106562,0
465,1.18162,0
466,1.288845,0
467,1.404648,0
468,1.44089,0
469,1.558838,0
470,1.6963,0
471,1.792803,0
472,1.917184,0
473,2.028698,0
474,2.159298,0
475,2.242933,0
476,2.410204,0
477,2.528152,0
478,2.738313,0
479,2.942255,0
480,3.122393,0
481,3.366652,0
482,3.574668,0
483,3.853453,0
484,4.115297,0
485,4.38529,0
486,4.675012,0
487,4.992398,0
488,5.283835,0
489,5.642181,0
490,5.99388,0
491,6.334855,0
492,6.705854,0
493,7.095939,0
494,7.449996,0
495,7.846514,0
496,8.271339,0
497,8.648771,0
498,9.051938,0
499,9.450815,0
500,9.81731,0
501,10.21619,0
502,10.60241,0
503,10.9584,0
504,11.39137,0
505,11.80097,0
506,12.22987,0
507,12.62682,0
508,13.14558,0
509,13.6624,0
510,14.17301,0
511,14.76038,0
512,15.36728,0
513,16.04065,0
514,16.84505,0
515,17.65331,0
516,18.50897,0
517,19.47421,0
518,20.51001,0
519,21.59276,0
520,22.79583,0
521,24.02055,0
522,25.35851,0
523,26.70547,0
524,28.11633,0
525,29.57245,0
526,31.14223,0
527,32.70149,0
528,34.28392,0
529,35.82817,0
530,37.38058,0
531,39.02541,0
532,40.56966,0
533,42.07489,0
534,43.51621,0
535,44.92708,0
536,46.23737,0
537,47.44687,0
538,48.60297,0
539,49.5978,0
540,50.4601,0
541,51.17186,0
542,51.77661,0
543,52.16262,0
544,52.53148,0
545,52.6861,0
546,52.82978,0
547,52.79311,0
548,52.79525,0
549,52.75472,0
550,52.8167,0
551,52.94107,0
552,53.1641,0
553,53.56105,0
554,54.12484,0
555,54.77699,3.538162
556,55.75059,2.722276
557,56.89125,2.00584
558,58.20797,1.996602
559,59.75201,2.110362
560,61.46118,2.471931
561,63.47486,2.885671
562,65.56812,3.224416
563,67.93757,3.713694
564,70.37373,4.334122
565,72.97093,4.997663
566,75.68587,5.640554
567,78.40273,6.544477
568,81.08121,7.558719
569,83.87121,8.514269
570,86.5304,9.82849
571,89.02444,10.90052
572,91.38147,12.31672
573,93.56457,14.12874
574,95.52014,15.73279
575,97.17805,18.62734
576,98.45832,20.82339
577,99.39976,23.72409
578,99.908,27.04578
579,100,30.01623
580,99.59705,33.52052
581,98.81409,37.09364
582,97.54476,40.701
583,95.85704,44.37339
584,93.80904,48.52039
585,91.37503,53.2322
586,88.58932,56.55716
587,85.49696,60.61285
588,82.16655,65.04915
589,78.6708,68.58694
590,75.01678,72.44846
591,71.27441,76.80015
592,67.30945,79.79831
593,63.45792,83.22598
594,59.51419,87.19762
595,55.65623,89.70035
596,51.89263,92.39654
597,48.28129,93.9716
598,44.6633,95.75265
599,41.32431,96.77595
600,38.03465,98.2916
601,35.02184,99.07742
602,32.15443,99.34026
603,29.43542,100
604,26.87896,99.38699
605,24.55646,98.55427
606,22.44413,97.17103
607,20.42187,95.91151
608,18.52184,94.23862
609,16.89438,93.49284
610,15.33533,91.29372
611,13.91545,88.66292
612,12.65041,87.07444
613,11.50954,84.44074
614,10.35365,82.13348
615,9.380047,80.02003
616,8.483645,77.32185
617,7.696614,75.34119
618,6.913656,72.48921
619,6.248861,70.00116
620,5.590714,67.83555
621,5.073889,65.09425
622,4.516104,62.35639
623,4.020939,60.16905
624,3.60898,58.10723
625,3.186728,56.17638
626,2.851972,54.80203
627,2.51314,52.59511
628,2.225777,50.88418
629,1.942918,48.75154
630,1.738976,47.54763
631,1.458261,45.55592
632,1.29099,44.07867
633,1.065817,43.24902
634,0.9585918,41.45204
635,0.8084768,40.31987
636,0.6881703,38.91037
637,0.5725817,37.83254
638,0.4822982,37.02535
639,0.3729287,35.6345
640,0.3345421,34.60903
641,0.2442586,33.30024
642,0.1972941,32.85154
643,0.1177331,32.33292
644,0.0856,31.5558
645,0.0558,30.78393
646,0.0212,30.29302
647,-0.0386,29.23839
648,-0.0407,29.35686
649,-0.0558,28.28845
650,-0.0856,27.51079
651,0,27.46242
652,0,26.74562
653,0,26.15853
654,0,25.14628
655,0,24.47495
656,0,24.66678
657,0,23.66939
658,0,23.97353
659,0,23.22974
660,0,23.10729
661,0,22.40244
662,0,22.56602
663,0,22.19847
664,0,21.37262
665,0,21.16286
666,0,20.52413
667,0,20.20096
668,0,19.83505
669,0,19.26118
670,0,18.90739
671,0,18.13444
672,0,18.07049
673,0,17.87866
674,0,17.57868
675,0,16.54361
676,0,16.30033
677,0,15.44731
678,0,14.90115
679,0,14.57671
680,0,14.46857
681,0,14.057
682,0,13.69109
683,0,12.98479
684,0,12.17652
685,0,11.72075
686,0,11.51968
687,0,11.23274
688,0,10.79418
689,0,10.26415
690,0,10.30962
691,0,9.67524
692,0,9.407323
693,0,8.869317
694,0,8.99449
