Wavelength,Excitation,Emission
300,23.60363,0
301,21.8954,0
302,20.52925,0
303,19.16129,0
304,17.85196,0
305,16.95725,0
306,16.10323,0
307,15.14828,0
308,14.70888,0
309,14.23564,0
310,13.901,0
311,13.77609,0
312,13.8045,0
313,13.87098,0
314,14.00375,0
315,14.18507,0
316,14.24148,0
317,14.44496,0
318,14.39479,0
319,14.57188,0
320,14.74112,0
321,14.7252,0
322,14.56403,0
323,14.77154,0
324,14.79954,0
325,14.67262,0
326,14.78544,0
327,14.97079,0
328,15.09993,0
329,15.10778,0
330,15.17225,0
331,15.27117,0
332,15.16218,0
333,15.01934,0
334,14.81586,0
335,14.49553,0
336,14.08031,0
337,13.5021,0
338,13.0087,0
339,12.23104,0
340,11.55794,0
341,11.09255,0
342,10.50044,0
343,9.869852,0
344,9.476993,0
345,9.035579,0
346,8.707189,0
347,8.415263,0
348,8.25409,0
349,8.102789,0
350,8.114877,0
351,7.937787,0
352,8.028447,0
353,8.062696,0
354,8.066726,0
355,8.088887,0
356,8.229712,0
357,8.24583,0
358,8.33649,0
359,8.441454,0
360,8.503909,0
361,8.590539,0
362,8.634862,0
363,8.588323,0
364,8.616529,0
365,8.523854,0
366,8.429164,0
367,8.322589,0
368,8.242002,0
369,8.098759,0
370,7.869288,0
371,7.750423,0
372,7.506447,0
373,7.280804,0
374,7.123862,0
375,6.841607,0
376,6.630269,0
377,6.34197,0
378,6.100209,0
379,5.868724,0
380,5.717423,0
381,5.363043,0
382,5.155532,0
383,4.97804,0
384,4.647836,0
385,4.52071,0
386,4.283182,0
387,4.160085,0
388,3.988839,0
389,3.745064,0
390,3.565759,0
391,3.418688,0
392,3.261544,0
393,3.136635,0
394,3.011725,0
395,2.878959,0
396,2.717584,0
397,2.687566,0
398,2.544322,0
399,2.467765,0
400,2.334999,0
401,2.268515,0
402,2.155694,0
403,2.113385,0
404,1.990289,0
405,1.923805,0
406,1.871626,0
407,1.798896,0
408,1.7445,0
409,1.720324,0
410,1.65384,0
411,1.674188,0
412,1.641953,0
413,1.597631,0
414,1.569425,0
415,1.597631,0
416,1.569425,0
417,1.593601,0
418,1.597631,0
419,1.577283,0
420,1.595415,0
421,1.553308,0
422,1.641953,0
423,1.62362,0
424,1.607704,0
425,1.676203,0
426,1.696148,0
427,1.684261,0
428,1.754573,0
429,1.839391,0
430,1.821057,0
431,1.827101,0
432,1.945967,0
433,1.98626,0
434,2.038641,0
435,2.151664,0
436,2.191756,0
437,2.215932,0
438,2.268515,0
439,2.339028,0
440,2.461721,0
441,2.566685,0
442,2.639214,0
443,2.780039,0
444,2.872713,0
445,2.917238,0
446,3.092514,0
447,3.281691,0
448,3.364292,0
449,3.521638,0
450,3.698928,0
451,3.852043,0
452,4.115964,0
453,4.264848,0
454,4.518898,0
455,4.726408,0
456,5.002418,0
457,5.191595,0
458,5.55222,0
459,5.743815,0
460,6.098396,0
461,6.396567,0
462,6.716698,0
463,7.030985,0
464,7.413974,0
465,7.726247,0
466,8.078814,0
467,8.445282,0
468,8.781933,0
469,9.160488,0
470,9.601902,0
471,9.994761,0
472,10.42368,0
473,10.94548,0
474,11.47937,0
475,11.95906,0
476,12.56145,0
477,13.15577,0
478,13.90301,0
479,14.59828,0
480,15.41623,0
481,16.24829,0
482,17.20525,0
483,18.09977,0
484,19.17338,0
485,20.26332,0
486,21.4016,0
487,22.50786,0
488,23.74889,0
489,24.98368,0
490,26.28515,0
491,27.55238,0
492,28.87199,0
493,30.06487,0
494,31.31598,0
495,32.43593,0
496,33.65904,0
497,34.62386,0
498,35.68559,0
499,36.5519,0
500,37.48872,0
501,38.20614,0
502,38.99589,0
503,39.72923,0
504,40.43235,0
505,41.09497,0
506,41.84443,0
507,42.61222,0
508,43.46019,0
509,44.3811,0
510,45.44685,0
511,46.63349,0
512,47.99742,0
513,49.41353,0
514,51.14413,0
515,52.95955,0
516,55.03848,0
517,57.24857,0
518,59.75905,0
519,62.38819,0
520,65.2206,5.701071
521,68.24865,6.35778
522,71.4278,7.332258
523,74.64723,8.648641
524,77.92711,10.0691
525,81.15864,11.77792
526,84.44275,13.62435
527,87.48892,16.03131
528,90.41623,18.49235
529,93.03732,21.1756
530,95.37816,24.60423
531,97.24374,28.24547
532,98.69248,31.98543
533,99.65147,35.71116
534,100,39.85947
535,99.76811,44.02929
536,98.9967,48.4172
537,97.5963,52.99002
538,95.7005,57.71807
539,93.14993,62.07044
540,90.19462,66.59299
541,86.67681,71.12021
542,82.92348,75.72911
543,78.72694,79.41993
544,74.33295,83.48864
545,69.83842,86.67605
546,65.19845,89.70982
547,60.50649,92.34145
548,55.86268,94.45153
549,51.28919,96.11558
550,46.81481,97.81046
551,42.57172,98.96739
552,38.43561,99.61471
553,34.62587,100
554,31.06616,99.7615
555,27.72585,99.2347
556,24.752,98.73553
557,22.02816,97.70108
558,19.59646,96.57751
559,17.34024,94.88828
560,15.32335,92.93251
561,13.57684,91.07101
562,12.04368,89.2767
563,10.61931,86.99787
564,9.422395,84.57742
565,8.350794,82.51257
566,7.39967,80.12875
567,6.563583,77.56402
568,5.800226,75.50615
569,5.135386,73.06369
570,4.583165,70.78168
571,4.059554,68.44317
572,3.642316,66.06958
573,3.231324,63.9654
574,2.893062,61.96904
575,2.582601,59.69368
576,2.363204,57.89945
577,2.109356,56.4245
578,1.923805,54.38709
579,1.736643,52.60376
580,1.603675,51.13532
581,1.484608,49.37943
582,1.382061,47.97523
583,1.250907,46.4606
584,1.182408,45.02757
585,1.114111,43.90985
586,1.035539,42.82872
587,0.9791281,41.26677
588,0.9346039,40.46849
589,0.9305746,39.34734
590,0.8421307,38.16873
591,0.8663067,37.20123
592,0.8179547,36.28397
593,0.7897494,35.19234
594,0.7512692,34.38918
595,0.7432106,33.79398
596,0.7333387,32.59336
597,0.6928439,31.5993
598,0.7069466,30.6787
599,0.6465065,29.99827
600,0.6827706,29.05277
601,0.6747119,28.4382
602,0.6608107,27.5708
603,0.6384479,26.85333
604,0.6444919,26.07384
605,0.6426787,25.54108
606,0.6366347,24.74773
607,0.6585945,24.03886
608,0.6245467,23.31036
609,0.5840519,22.58474
610,0.6263599,21.74674
611,0.5961399,21.19039
612,0.5961399,20.41582
613,0.598356,19.74692
614,0.5900959,19.13815
615,0.5780079,18.55737
616,0.6021839,18.0693
617,0.6124587,17.43493
618,0.598356,16.93541
619,0.5820373,16.1834
620,0.5759932,15.71007
621,0.5840519,15.23298
622,0.54396,14.64827
623,0.5699492,14.04167
624,0.5719639,13.55807
625,0.5578612,12.94199
626,0.5741801,12.49088
627,0.5699492,12.20777
628,0.592312,11.82598
629,0.5578612,11.23104
630,0.5620921,10.88605
631,0.5620921,10.49553
632,0.5336852,10.12852
633,0.556048,9.779099
634,0.5500041,9.350161
635,0.556048,9.004412
636,0.5598759,8.65311
637,0.519784,8.432648
638,0.54396,8.101641
639,0.5518172,7.827431
640,0.5215972,7.516261
641,0.5620921,7.312044
642,0.519784,7.072789
643,0.5258281,6.738943
644,0.531872,6.446525
645,0.5379161,6.213409
646,0.54396,5.993406
647,0.5117254,5.656469
648,0.5397292,5.444902
649,0.556048,5.207443
