Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,6.258348,0
401,7.03469,0
402,6.756194,0
403,6.556535,0
404,6.712422,0
405,6.844996,0
406,6.421542,0
407,5.789241,0
408,5.567374,0
409,5.481858,0
410,5.118474,0
411,4.757673,0
412,4.965522,0
413,5.165916,0
414,4.882768,0
415,4.168883,0
416,3.798813,0
417,3.489901,0
418,3.390522,0
419,3.081495,0
420,3.020844,0
421,2.671184,0
422,2.737353,0
423,2.495884,0
424,2.334513,0
425,1.896819,0
426,1.691235,0
427,1.266824,0
428,1.448279,0
429,1.358888,0
430,1.189416,0
431,0.9095383,0
432,0.9682276,0
433,0.916903,0
434,0.7296602,0
435,0.6791236,0
436,0.5078274,0
437,0.508004,0
438,0.6681761,0
439,0.6171017,0
440,0.472353,0
441,0.2915979,0
442,0.4698224,0
443,0.5727241,0
444,0.5597152,0
445,0.3201334,0
446,0.3209009,0
447,0.3548746,0
448,0.386235,0
449,0.2266554,0
450,0.2478482,0
451,0.2290774,0
452,0.4108616,0
453,0.3285551,0
454,0.1892945,0
455,0.00066,0
456,0.1137193,0
457,0.2400543,0
458,0.3445205,0
459,0.26631,0
460,0.3053352,0
461,0.1780642,0
462,0.2211249,0
463,0.2148979,0
464,0.2709667,0
465,0.2824234,0
466,0.3475874,0
467,0.3584515,0
468,0.3154677,0
469,0.3716738,0
470,0.485317,0
471,0.4567701,0
472,0.4055967,0
473,0.3835367,0
474,0.5323634,0
475,0.6266783,0
476,0.6166145,0
477,0.5024931,0
478,0.5942414,0
479,0.7926671,0
480,0.8487563,0
481,0.9098161,0
482,1.026279,0
483,1.186956,0
484,1.020549,0
485,1.057766,0
486,1.085974,0
487,1.182795,0
488,1.061738,0
489,1.086252,0
490,1.009245,0
491,1.138378,0
492,1.426986,0
493,1.637818,0
494,1.683756,0
495,1.5994,0
496,1.570644,0
497,1.527992,0
498,1.730846,0
499,1.864802,0
500,2.240823,0
501,2.534883,0
502,2.645886,0
503,2.550756,0
504,2.695845,0
505,2.964819,0
506,3.449946,0
507,3.796573,0
508,3.773784,0
509,3.775035,0
510,4.194092,0
511,4.71834,0
512,4.782579,0
513,4.87524,0
514,5.100049,0
515,5.636976,0
516,6.007152,0
517,6.146813,0
518,5.978747,0
519,6.117477,0
520,6.680331,0
521,7.220805,0
522,7.092792,0
523,6.838776,0
