Wavelength,Excitation,Emission
300,33.59994,0
301,28.20723,0
302,23.9604,0
303,20.20673,0
304,17.32977,0
305,15.18845,0
306,13.53524,0
307,12.12187,0
308,11.0815,0
309,10.31702,0
310,9.610694,0
311,9.098556,0
312,8.622707,0
313,8.365558,0
314,8.077405,0
315,7.644815,0
316,7.611169,0
317,7.534265,0
318,7.356422,0
319,7.348972,0
320,7.606123,0
321,7.577524,0
322,7.801028,0
323,7.990887,0
324,8.293699,0
325,8.930568,0
326,9.209347,0
327,9.730858,0
328,10.43742,0
329,11.05987,0
330,11.85295,0
331,12.64819,0
332,13.48934,0
333,14.22234,0
334,15.20552,0
335,15.80633,0
336,16.72439,0
337,17.65926,0
338,18.62994,0
339,19.68282,0
340,20.93973,0
341,22.44153,0
342,24.06855,0
343,26.04164,0
344,28.07265,0
345,30.19474,0
346,32.42498,0
347,34.33053,0
348,36.04406,0
349,37.6545,0
350,39.03879,0
351,40.30267,0
352,41.65571,0
353,42.73718,0
354,43.92681,0
355,45.12363,0
356,46.30629,0
357,47.76267,0
358,49.38969,0
359,51.53822,0
360,54.10732,0
361,57.14746,0
362,60.29551,0
363,63.33324,0
364,66.00809,0
365,67.92831,0
366,69.27174,0
367,70.36307,0
368,71.16071,0
369,71.94442,0
370,72.54259,0
371,73.17465,0
372,73.59763,0
373,74.03767,0
374,74.33063,0
375,74.73198,0
376,74.95091,0
377,75.39312,0
378,75.4818,0
379,75.48925,0
380,74.92664,-0.378518
381,73.45584,-0.4980515
382,71.5599,-0.4613423
383,69.12298,-0.4563196
384,65.85212,-0.4368347
385,62.67739,-0.4330297
386,59.76438,-0.4149021
387,57.23614,-0.2943088
388,55.50578,-0.3217042
389,54.55168,-0.1744271
390,54.70333,-0.1011878
391,55.96024,0.0143816
392,58.45484,0.1574835
393,62.04053,0.3992221
394,66.71465,0.8240009
395,72.21575,1.316964
396,78.30805,2.089908
397,84.46548,3.013896
398,90.29078,4.468233
399,95.18168,6.211431
400,98.6013,8.566997
401,100,11.50465
402,99.4595,14.88747
403,96.75078,19.14552
404,92.13649,24.04535
405,86.0562,28.92631
406,78.88724,35.09186
407,71.03333,41.06155
408,62.89369,47.53429
409,54.84752,54.26897
410,47.16906,60.37439
411,39.83163,67.09481
412,33.43892,73.14579
413,27.65207,78.38701
414,22.68931,83.3784
415,18.39923,87.40558
416,14.93635,91.41299
417,11.88876,93.99027
418,9.543402,96.29733
419,7.483555,98.0377
420,5.940894,99.29636
421,4.664515,99.70953
422,3.631347,100
423,2.924785,99.33102
424,2.189142,98.87952
425,1.730117,98.50332
426,1.381883,97.77499
427,1.064651,96.82858
428,0.8387427,96.33123
429,0.6798862,95.41227
430,0.5645291,94.67367
431,0.4395588,93.82433
432,0.2883929,93.7133
433,0.2713296,93.21149
434,0.230474,92.40725
435,0.1826489,91.8007
436,0.1223266,90.91716
437,0.1319398,90.05756
438,0.0574,89.17863
439,0.0673,88.25906
440,0.0745015,86.99242
441,0.1367463,85.63408
442,0.0745015,84.77477
443,0.0238,82.70222
444,0.0286,81.24511
445,0.0457,79.43555
446,0.0646,77.46437
447,0.0553,75.55775
448,-0.0216,73.55757
449,0.0168,71.42152
450,0.0142,69.61626
451,0,67.30139
452,0,64.96995
453,0,63.01885
454,0,60.56334
455,0,58.64567
456,0,56.60654
457,0,54.74118
458,0,53.0853
459,0,51.18727
460,0,49.32497
461,0,47.81939
462,0,45.90418
463,0,44.12562
464,0,42.67786
465,0,41.26139
466,0,39.87467
467,0,38.60819
468,0,37.36594
469,0,35.84825
470,0,34.56429
471,0,33.47417
472,0,32.32272
473,0,31.02571
474,0,29.75402
475,0,28.62756
476,0,27.45095
477,0,26.40209
478,0,25.15141
479,0,24.35391
480,0,23.26518
481,0,22.37245
482,0,21.37589
483,0,20.51659
484,0,19.50883
485,0,18.79646
486,0,17.83671
487,0,17.11758
488,0,16.28819
489,0,15.58394
490,0,14.83091
491,0,14.14724
492,0,13.50078
493,0,12.87291
494,0,12.31538
495,0,11.80838
496,0,11.29352
497,0,10.88965
498,0,10.25577
499,0,9.766765
500,0,9.317883
501,0,8.858357
502,0,8.454764
503,0,7.870417
504,0,7.47371
505,0,7.029429
506,0,6.73086
507,0,6.361759
508,0,5.949286
509,0,5.668552
510,0,5.327409
511,0,5.177925
512,0,4.924138
513,0,4.53967
514,0,4.40724
515,0,4.093902
516,0,3.984108
517,0,3.769368
518,0,3.449788
519,0,3.335593
520,0,3.143167
521,0,2.9491
522,0,2.780599
523,0,2.503623
524,0,2.465113
525,0,2.210192
526,0,2.142512
527,0,1.991954
528,0,1.785189
529,0,1.713905
530,0,1.55867
531,0,1.457211
532,0,1.382786
533,0,1.164981
534,0,1.201809
535,0,1.008502
536,0,0.9577804
537,0,0.8185595
538,0,0.6479695
539,0,0.712114
540,0,0.597933
541,0,0.5722782
542,0,0.5462953
543,0,0.2751966
544,0,0.3697732
545,0,0.1863129
546,0,0.2504037
547,0,0.1577457
548,0,0.0636116
549,0,-0.0321
550,0,-0.129262
551,0,-0.1302756
552,0,-0.1969962
553,0,-0.2647801
554,0,-0.3003774
555,0,-0.3365361
556,0,-0.3733588
557,0,-0.3422566
558,0,-0.552258
559,0,-0.5220376
560,0,-0.6668978
561,0,-0.6371605
562,0,-0.6784507
563,0,-0.7203375
564,0,-0.7266837
565,0,-0.8428846
566,0,-0.9242136
567,0,-0.8576413
568,0,-1.015792
569,0,-0.8350263
570,0,-0.880922
571,0,-1.120662
572,0,-1.013841
573,0,-1.18018
574,0,-1.071724
575,0,-1.121326
576,0,-1.252879
577,0,-1.141971
578,0,-1.193768
579,0,-1.246232
580,0,-1.257784
581,0,-1.396123
582,0,-1.195467
583,0,-1.335479
584,0,-1.391284
585,0,-1.316293
586,0,-1.550112
587,0,-1.385657
588,0,-1.624218
589,0,-1.50247
590,0,-1.562274
591,0,-1.576322
592,0,-1.497259
593,0,-1.558225
594,0,-1.62066
595,0,-1.587656
596,0,-1.79686
597,0,-1.617317
598,0,-1.830247
599,0,-1.597456
600,0,-1.814052
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
