Wavelength,Excitation,Emission
300,37.19916,0
301,35.14017,0
302,33.64416,0
303,32.29578,0
304,30.89032,0
305,29.92952,0
306,29.11282,0
307,28.16797,0
308,27.83904,0
309,27.49673,0
310,27.28591,0
311,27.25835,0
312,27.42783,0
313,27.36878,0
314,27.42783,0
315,27.31957,0
316,26.97293,0
317,26.67983,0
318,25.92395,0
319,25.18972,0
320,24.29999,0
321,23.27837,0
322,21.98491,0
323,20.97707,0
324,19.91628,0
325,18.64073,0
326,17.57383,0
327,16.76658,0
328,15.8237,0
329,14.92609,0
330,14.39264,0
331,13.934,0
332,13.63105,0
333,13.40449,0
334,13.35921,0
335,13.4163,0
336,13.55999,0
337,13.6466,0
338,13.94207,0
339,13.93222,0
340,13.98537,0
341,14.06608,0
342,13.98931,0
343,13.68007,0
344,13.47929,0
345,13.06788,0
346,12.65845,0
347,12.20374,0
348,11.76281,0
349,11.2392,0
350,10.85359,0
351,10.24908,0
352,9.810119,0
353,9.343599,0
354,8.841844,0
355,8.349538,0
356,7.983409,0
357,7.528699,0
358,7.192293,0
359,6.883248,0
360,6.582078,0
361,6.333858,0
362,6.113392,0
363,5.908675,0
364,5.729548,0
365,5.517153,0
366,5.338025,0
367,5.168542,0
368,5.074058,0
369,4.936267,0
370,4.806547,0
371,4.761272,0
372,4.599861,0
373,4.436284,0
374,4.395144,0
375,4.28688,0
376,4.196134,0
377,4.068383,0
378,3.962087,0
379,3.879412,0
380,3.849689,0
381,3.682569,0
382,3.649105,0
383,3.607571,0
384,3.426672,0
385,3.436317,0
386,3.326282,0
387,3.296755,0
388,3.26526,0
389,3.119398,0
390,3.083967,0
391,3.046763,0
392,2.942239,0
393,2.889091,0
394,2.826101,0
395,2.810551,0
396,2.741656,0
397,2.73949,0
398,2.670595,0
399,2.64717,0
400,2.597762,0
401,2.583984,0
402,2.570204,0
403,2.572173,0
404,2.542646,0
405,2.540875,0
406,2.519222,0
407,2.536741,0
408,2.55052,0
409,2.574338,0
410,2.643234,0
411,2.688508,0
412,2.716066,0
413,2.743624,0
414,2.786733,0
415,2.893225,0
416,2.946373,0
417,3.044598,0
418,3.13121,0
419,3.200104,0
420,3.322148,0
421,3.391043,0
422,3.591824,0
423,3.74733,0
424,3.881381,0
425,4.050667,0
426,4.212079,0
427,4.365617,0
428,4.623482,0
429,4.871506,0
430,5.078191,0
431,5.338025,0
432,5.611638,0
433,5.900801,0
434,6.190162,0
435,6.50708,0
436,6.808448,0
437,7.138949,0
438,7.471615,0
439,7.81806,0
440,8.266864,0
441,8.692244,0
442,9.068214,0
443,9.560127,0
444,10.05637,0
445,10.52486,0
446,11.1213,0
447,11.73722,0
448,12.35354,0
449,13.05233,0
450,13.8338,0
451,14.58575,0
452,15.60323,0
453,16.43391,0
454,17.4575,0
455,18.47144,0
456,19.60329,0
457,20.6759,0
458,21.93786,0
459,23.0892,0
460,24.3866,0
461,25.66785,0
462,26.97686,0
463,28.28588,0
464,29.61457,0
465,30.89228,0
466,32.14598,0
467,33.41169,0
468,34.67365,0
469,35.92342,0
470,37.22278,0
471,38.5001,0
472,39.71856,0
473,41.06714,0
474,42.49229,0
475,43.88594,0.979202
476,45.45262,0.7017655
477,47.09036,0.4852089
478,48.93282,0.4840133
479,50.82055,0.5698063
480,52.97225,0.7110866
481,55.21037,0.860956
482,57.68272,1.069875
483,60.24937,1.345994
484,62.96581,1.668182
485,65.89091,2.103955
486,68.91837,2.581697
487,71.98539,3.224486
488,75.178,3.944527
489,78.45742,4.848526
490,81.70357,5.912594
491,84.90798,7.095542
492,87.99863,8.524304
493,90.81133,10.20722
494,93.3959,12.18995
495,95.60251,14.54477
496,97.51189,17.12979
497,98.82898,20.15777
498,99.76005,23.53367
499,99.99999,27.22775
500,99.82107,31.25619
501,98.93703,35.50921
502,97.45698,40.04907
503,95.45901,44.65386
504,92.86658,49.65947
505,89.75822,54.46586
506,86.18768,59.60864
507,82.14233,64.62728
508,77.89071,69.77808
509,73.31999,74.2916
510,68.56995,79.11359
511,63.71205,83.07986
512,58.92678,86.77189
513,53.98186,90.17967
514,49.36607,92.87098
515,44.72449,95.06226
516,40.45279,96.95232
517,36.23442,98.43452
518,32.32904,99.46811
519,28.76244,99.82077
520,25.34897,100
521,22.27624,99.61855
522,19.51668,98.58117
523,17.12286,97.27509
524,14.91428,95.98027
525,12.9736,94.28366
526,11.25101,92.25999
527,9.751263,90.39438
528,8.471581,88.15095
529,7.326148,85.96471
530,6.410823,83.3491
531,5.544711,80.76096
532,4.832137,78.2592
533,4.229597,75.45985
534,3.715835,72.62863
535,3.26526,70.0626
536,2.883186,67.64776
537,2.564299,65.06199
538,2.333992,62.91389
539,2.066481,60.53472
540,1.875543,58.3782
541,1.635197,56.18806
542,1.599962,54.14721
543,1.43855,52.26948
544,1.336191,50.57441
545,1.231667,48.9867
546,1.192495,47.20159
547,1.066318,45.73164
548,1.082066,44.16367
549,0.9974229,42.74208
550,0.9738014,41.27572
551,0,40.0446
552,0,38.73765
553,0,37.65509
554,0,36.46091
555,0,35.37452
556,0,34.30606
557,0,33.2388
558,0,32.29171
559,0,31.38754
560,0,30.29636
561,0,29.28731
562,0,28.36565
563,0,27.50599
564,0,26.58718
565,0,25.79486
566,0,25.07528
567,0,24.25486
568,0,23.29783
569,0,22.4909
570,0,21.94921
571,0,21.06648
572,0,20.30616
573,0,19.48712
574,0,18.80446
575,0,18.15909
576,0,17.39656
577,0,16.72586
578,0,16.13629
579,0,15.49738
580,0,14.92194
581,0,14.26831
582,0,13.58558
583,0,12.9392
584,0,12.52339
585,0,11.93687
586,0,11.55976
587,0,11.1366
588,0,10.64905
589,0,10.29346
590,0,9.893942
591,0,9.468491
592,0,9.108702
593,0,8.730515
594,0,8.403642
595,0,8.075037
596,0,7.736989
597,0,7.423903
598,0,7.204468
599,0,6.877082
600,0,6.693296
601,0,6.419983
602,0,6.2086
603,0,6.008928
604,0,5.747986
605,0,5.592822
606,0,5.389613
607,0,5.110127
608,0,5.009059
609,0,4.797871
610,0,4.645317
611,0,4.523728
612,0,4.332036
613,0,4.204493
614,0,4.05372
615,0,3.892725
616,0,3.78197
617,0,3.636761
618,0,3.573026
619,0,3.407589
620,0,3.304398
621,0,3.133739
622,0,3.049361
623,0,2.89671
624,0,2.794667
625,0,2.688767
626,0,2.586186
627,0,2.439099
628,0,2.394738
629,0,2.279786
630,0,2.167665
631,0,2.108932
632,0,2.040317
633,0,1.971288
634,0,1.924316
635,0,1.859947
636,0,1.827836
637,0,1.693558
638,0,1.673745
639,0,1.584877
640,0,1.559769
641,0,1.494936
642,0,1.449404
643,0,1.420807
644,0,1.387061
645,0,1.312907
646,0,1.256346
647,0,1.215865
648,0,1.184193
649,0,1.170284
650,0,1.102231
651,0,1.063897
652,0,1.056992
653,0,1.010972
654,0,0.9797145
655,0,0.9391603
656,0,0.9019005
657,0,0.8845759
658,0,0.8243549
659,0,0.8167662
660,0,0.7988073
661,0,0.7606689
662,0,0.729558
663,0,0.7169916
664,0,0.7080365
665,0,0.6980078
666,0,0.6610407
667,0,0.6739731
668,0,0.6196326
669,0,0.6103847
670,0,0.6104335
671,0,0.6017713
672,0,0.555727
673,0,0.5344008
674,0,0.5249089
675,0,0.5088044
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
