Wavelength,Excitation,Emission
300,41.53825,0
301,40.9609,0
302,41.07125,0
303,41.26986,0
304,40.98809,0
305,41.57414,0
306,42.00927,0
307,42.04432,0
308,42.61805,0
309,43.3442,0
310,43.69733,0
311,44.30994,0
312,44.77534,0
313,45.53568,0
314,46.56674,0
315,46.70205,0
316,47.62255,0
317,48.739,0
318,49.36318,0
319,50.31204,0
320,51.67192,0
321,53.09882,0
322,55.30835,0
323,57.35921,0
324,59.13076,0
325,62.10308,0
326,64.28341,0
327,67.37776,0
328,70.88663,0
329,73.80065,0
330,77.24825,0
331,80.20135,0
332,83.09412,0
333,86.34087,0
334,87.79146,0
335,90.70898,0
336,92.74328,0
337,94.83078,0
338,96.05928,0
339,97.85514,0
340,98.52202,0
341,98.99125,0
342,99.51856,0
343,100,0
344,99.62031,0
345,99.10669,0
346,98.27891,0
347,97.91738,0
348,96.97606,0
349,95.53918,0
350,94.85415,0
351,93.1132,0
352,91.59942,0
353,90.36986,0
354,88.8186,0
355,88.04063,0
356,87.10419,0
357,85.75239,0
358,84.54269,0
359,83.40796,0
360,81.95419,0
361,80.34982,0
362,78.90891,0
363,77.60946,0
364,74.88875,0
365,73.07483,0
366,70.59457,0
367,67.81003,0
368,65.22133,0
369,62.38432,0
370,59.15784,0
371,55.67424,0
372,51.84057,0
373,48.40317,0
374,44.87847,0
375,41.73547,0.3762112
376,38.68785,0.4498615
377,35.95004,0.4890214
378,32.88882,0.5572594
379,30.15186,0.6369589
380,27.6546,0.764096
381,25.10913,0.9742224
382,22.86847,1.128103
383,20.72977,1.378026
384,18.8225,1.7224
385,16.93615,2.029206
386,15.38223,2.570122
387,13.76267,3.023804
388,12.22086,3.613537
389,11.04801,4.094811
390,9.518414,4.698872
391,8.30287,5.150007
392,7.035922,5.716393
393,6.106076,6.335205
394,5.216164,7.066614
395,4.461242,7.720977
396,3.862551,8.86277
397,3.400336,9.820862
398,2.927713,10.92678
399,2.564378,12.03059
400,2.209645,13.40415
401,0,14.85785
402,0,16.48155
403,0,18.07671
404,0,19.9862
405,0,21.97211
406,0,24.21102
407,0,26.33521
408,0,28.6016
409,0,30.93283
410,0,33.41519
411,0,35.74706
412,0,38.35157
413,0,41.08491
414,0,43.7844
415,0,46.84418
416,0,49.74849
417,0,52.5507
418,0,55.61993
419,0,59.02652
420,0,61.57563
421,0,64.96333
422,0,67.49047
423,0,70.78935
424,0,73.89774
425,0,77.08731
426,0,79.52435
427,0,82.12376
428,0,84.1656
429,0,86.53153
430,0,89.00201
431,0,91.06942
432,0,92.42537
433,0,94.23808
434,0,95.51285
435,0,96.69422
436,0,97.18834
437,0,98.40144
438,0,98.77543
439,0,99.09953
440,0,98.94947
441,0,100
442,0,99.63811
443,0,99.31008
444,0,99.59174
445,0,99.22391
446,0,98.75707
447,0,98.26073
448,0,98.08604
449,0,97.15607
450,0,95.94477
451,0,95.43591
452,0,94.43462
453,0,94.1796
454,0,93.02921
455,0,92.28868
456,0,91.08417
457,0,90.56851
458,0,89.43319
459,0,88.19026
460,0,86.87634
461,0,85.43548
462,0,83.92681
463,0,82.27308
464,0,80.66656
465,0,79.5529
466,0,77.66251
467,0,75.10268
468,0,73.22587
469,0,71.80136
470,0,70.02037
471,0,68.33936
472,0,66.16975
473,0,64.71766
474,0,63.18045
475,0,61.65755
476,0,60.09562
477,0,58.95085
478,0,56.90615
479,0,55.41797
480,0,53.8052
481,0,51.72388
482,0,50.15897
483,0,48.51691
484,0,46.84683
485,0,45.35324
486,0,43.65874
487,0,42.28401
488,0,40.90885
489,0,39.54335
490,0,38.15089
491,0,36.82454
492,0,35.41012
493,0,34.24073
494,0,33.28551
495,0,32.185
496,0,31.04808
497,0,29.90364
498,0,28.78084
499,0,27.65391
500,0,26.77095
501,0,25.72679
502,0,24.84914
503,0,23.65333
504,0,22.74618
505,0,21.72474
506,0,20.95905
507,0,20.02632
508,0,19.41377
509,0,18.62622
510,0,17.7144
511,0,17.18728
512,0,16.14896
513,0,15.59308
514,0,15.02934
515,0,14.43027
516,0,13.75649
517,0,12.90548
518,0,12.41189
519,0,11.91066
520,0,11.39649
521,0,10.58708
522,0,10.28208
523,0,10.06771
524,0,9.572001
525,0,9.089134
526,0,9.069501
527,0,8.56679
528,0,8.235575
529,0,7.882605
530,0,7.745174
531,0,7.447389
532,0,7.152681
533,0,6.985641
534,0,6.671937
535,0,6.359295
536,0,6.095151
537,0,5.860404
538,0,5.70854
539,0,5.429008
540,0,5.180677
541,0,5.04176
542,0,4.969383
543,0,4.780163
544,0,4.503072
545,0,4.331363
546,0,4.201042
547,0,4.094599
548,0,3.865689
549,0,3.707033
550,0,3.647179
551,0,3.600166
552,0,3.380064
553,0,3.270225
554,0,3.171423
555,0,2.990162
556,0,2.890087
557,0,2.766664
558,0,2.682932
559,0,2.612359
560,0,2.533721
561,0,2.420486
562,0,2.368485
563,0,2.332191
564,0,2.236891
565,0,2.135648
566,0,2.127583
567,0,2.017001
568,0,1.888484
569,0,1.931253
570,0,1.767821
571,0,1.751478
572,0,1.642382
573,0,1.684513
574,0,1.521718
575,0,1.501343
576,0,1.419308
577,0,1.389487
578,0,1.396704
579,0,1.331119
580,0,1.274448
581,0,1.207908
582,0,1.224145
583,0,1.215019
584,0,1.222554
585,0,1.108151
586,0,1.064534
587,0,1.088731
588,0,1.038109
589,0,0.9825001
590,0,0.9596834
591,0,0.9215847
592,0,0.8972821
593,0,0.8512241
594,0,0.8333952
595,0,0.8269216
596,0,0.7431895
597,0,0.8153541
598,0,0.8271339
599,0,0.7583653
600,0,0.7358669
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
