Wavelength,Excitation,Emission
300,52.20362,0
301,44.4513,0
302,37.6193,0
303,31.7401,0
304,27.328,0
305,23.66297,0
306,20.60373,0
307,18.79558,0
308,17.60999,0
309,16.50561,0
310,15.84569,0
311,15.57447,0
312,15.3092,0
313,14.93079,0
314,14.62167,0
315,14.35153,0
316,13.96175,0
317,13.88,0
318,13.79934,0
319,13.9834,0
320,13.81558,0
321,13.81558,0
322,14.18371,0
323,14.44897,0
324,14.31363,0
325,14.25354,0
326,14.69746,0
327,14.28602,0
328,14.65469,0
329,14.84363,0
330,14.97355,0
331,15.17927,0
332,15.38012,0
333,15.51005,0
334,15.4938,0
335,15.84569,0
336,16.09418,0
337,16.34374,0
338,16.75518,0
339,17.23699,0
340,17.83736,0
341,18.29211,0
342,18.70354,0
343,19.40732,0
344,19.78681,0
345,20.31139,0
346,20.77155,0
347,21.21601,0
348,21.78931,0
349,22.39022,0
350,22.82873,0
351,23.46754,0
352,23.85786,0
353,24.27471,0
354,24.75598,0
355,25.48195,0
356,25.99624,0
357,26.60203,0
358,27.27332,0
359,27.79898,0
360,28.39448,0
361,28.98998,0
362,29.50373,0
363,29.95361,0
364,30.43488,0
365,30.76565,0
366,31.22527,0
367,31.5176,0
368,31.70167,0
369,31.994,0
370,32.24844,0
371,32.28093,0
372,32.27605,0
373,32.5895,0
374,32.50343,0
375,32.74108,0
376,32.97441,0
377,33.46164,0
378,33.79133,0
379,34.39765,0
380,34.95039,0
381,36.00063,0
382,36.96967,0
383,37.62418,0
384,38.16608,0
385,40.28227,0
386,41.66274,0
387,42.84345,0
388,44.27806,0
389,45.66937,0
390,47.25502,0
391,48.56512,0
392,50.15672,0
393,51.60758,0
394,53.27552,0
395,54.80758,0
396,56.51287,0
397,58.10447,0
398,59.74426,0
399,61.43927,0
400,63.10071,0
401,64.62735,0
402,66.34943,0
403,67.98921,0
404,69.77571,0
405,71.3998,0
406,73.04555,0
407,74.66476,0
408,76.32133,0
409,77.82037,0
410,79.33131,0
411,80.73344,0
412,82.27578,0
413,83.69415,0
414,85.13472,0
415,86.49841,0
416,87.85181,0
417,89.1944,0
418,90.38052,0
419,91.51143,0
420,92.56222,0
421,93.61246,0
422,94.5593,0
423,95.28473,0
424,96.35176,0
425,97.09342,0.5693572
426,97.65644,0.4668313
427,98.24112,0.473597
428,98.85827,0.4902509
429,99.03096,0.4410697
430,99.52415,0.4725561
431,100,0.5199158
432,99.9031,0.4639689
433,99.75639,0.438988
434,99.74014,0.4793218
435,99.51277,0.4694335
436,99.28594,0.4863476
437,98.83607,0.4707346
438,98.48473,0.4361255
439,98.00833,0.4709948
440,97.47725,0.4746378
441,96.77943,0.4608463
442,96.15632,0.454601
443,95.41466,0.4775003
444,94.59774,0.4465343
445,93.70395,0.4871283
446,92.75169,0.4418503
447,91.70686,0.503522
448,90.65067,0.5545248
449,89.56848,0.5206964
450,88.39318,0.520176
451,87.24007,0.5646733
452,86.00577,0.5227782
453,84.81532,0.5724798
454,83.60266,0.5899144
455,81.99482,0.6380548
456,80.7172,0.7283505
457,79.29829,0.8662661
458,77.72346,0.8985332
459,76.08314,1.096299
460,74.62687,1.110611
461,73.04555,1.213137
462,71.30831,1.340904
463,69.61385,1.318525
464,67.85387,1.520194
465,66.15399,1.505882
466,64.22133,1.747365
467,62.39694,1.821527
468,60.57309,1.874351
469,58.86779,1.904797
470,56.91348,2.006542
471,55.08854,2.14732
472,53.28634,2.32583
473,51.3212,2.629504
474,49.39936,2.786416
475,47.40119,3.169457
476,45.5232,3.470529
477,43.61165,3.950631
478,41.74936,4.29464
479,39.87679,4.705004
480,38.05727,5.312613
481,36.20039,5.891338
482,34.45179,6.445863
483,32.64905,7.2783
484,30.95459,8.034234
485,29.24388,8.893735
486,27.58189,9.807361
487,26.0336,10.81466
488,24.45336,11.57346
489,22.89965,12.75641
490,21.50239,13.94275
491,20.09485,14.96723
492,18.81182,16.16215
493,17.36638,17.77446
494,16.23006,19.38443
495,14.98492,20.63634
496,13.95038,22.91038
497,12.78699,25.37777
498,12.02367,27.51885
499,10.96801,29.47204
500,10.21498,31.72787
501,9.343923,34.18017
502,8.748424,37.21275
503,7.941793,39.12328
504,7.448611,40.90525
505,6.685831,44.46972
506,6.1174,46.57384
